City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Neiafu,TO,-18.65,-173.9833,75.88,73,75,2.3,light rain
306,Gorontalo,ID,0.5412,123.0595,88.47,63,93,8.81,overcast clouds
307,Coahuayana Viejo,MX,18.7333,-103.6833,79.09,88,100,2.86,overcast clouds
308,Laguna,US,38.421,-121.4238,86.5,50,1,5.01,clear sky
309,Valparaíso,CL,-33.0393,-71.6273,54.52,83,90,4.61,overcast clouds
310,Buta,CD,2.7858,24.73,67.87,93,53,2.33,broken clouds
311,Bambanglipuro,ID,-7.95,110.2833,84.85,67,21,8.1,few clouds
312,Baykit,RU,61.67,96.37,81.01,36,74,5.64,broken clouds
313,Margate,GB,51.3813,1.3862,58.03,90,26,6.69,scattered clouds
314,Poum,NC,-20.2333,164.0167,70.81,72,100,3.06,overcast clouds
315,Tcholliré,CM,8.4022,14.1698,69.04,95,86,2.82,overcast clouds
316,Xinzhou,CN,38.4092,112.7333,87.1,31,34,4.61,scattered clouds
317,Chongwe,ZM,-15.3292,28.682,49.46,51,0,3.78,clear sky
318,College,US,64.8569,-147.8028,82.38,46,40,8.05,scattered clouds
319,Menongue,AO,-14.6585,17.691,49.53,39,0,4.52,clear sky
320,Anloga,GH,5.7947,0.8973,77.22,89,90,11.65,light rain
321,Inta,RU,66.0317,60.1659,64.62,92,84,5.41,broken clouds
322,Ixtapa,MX,20.7,-105.2,78.22,97,100,2.39,overcast clouds
323,Ondjiva,AO,-17.0667,15.7333,55.38,37,0,5.21,clear sky
324,Gombong,ID,-7.6072,109.5142,89.83,67,34,4.27,scattered clouds
325,Angoche,MZ,-16.2325,39.9086,68.47,84,0,3.06,clear sky
326,Okato,NZ,-39.2,173.8833,57.42,77,6,10.4,clear sky
327,Nānākuli,US,21.3906,-158.1547,82.35,69,75,9.22,broken clouds
328,Zaranj,AF,30.9667,61.8833,91.36,13,0,32.12,clear sky
329,Adrar,MR,20.5022,-10.0711,87.06,17,6,13.71,clear sky
330,Yulara,AU,-25.2406,130.9889,60.64,31,0,12.66,clear sky
331,Jalu,LY,29.0331,21.5482,82.65,34,0,8.21,clear sky
332,Āsosa,ET,10.0667,34.5333,59.76,81,95,4.34,overcast clouds
333,Aripuanã,BR,-9.1667,-60.6333,70.47,50,4,2.55,clear sky
334,Kemijärvi,FI,66.7131,27.4306,50.77,72,86,2.98,overcast clouds
335,Chanika,TZ,-5.4167,38.0167,60.21,98,47,1.92,scattered clouds
336,Santa Cruz de la Sierra,BO,-17.8,-63.1667,63.86,48,75,6.91,broken clouds
337,Koungou,YT,-12.7336,45.2042,69.51,94,0,5.75,clear sky
338,Korem,ET,12.5058,39.5228,57.83,78,100,3.87,overcast clouds
339,Paita,PE,-5.0892,-81.1144,64.99,84,0,11.12,clear sky
340,Simpang,ID,-1.2667,104.0833,85.59,64,100,5.41,overcast clouds
341,Leningradskiy,RU,69.3833,178.4167,43.09,86,100,5.77,overcast clouds
342,Taltal,CL,-25.4,-70.4833,56.68,76,2,3.42,clear sky
343,Lüderitz,NA,-26.6481,15.1594,55.33,79,43,3.65,scattered clouds
344,Hirado,JP,33.3597,129.5531,92.39,70,9,4.34,clear sky
345,Saint-Augustin,CA,51.226,-58.6502,58.44,69,0,7.29,clear sky
346,Stroud,GB,51.75,-2.2,57.85,82,93,6.04,overcast clouds
347,Balkhash,KZ,46.844,74.9804,81.21,29,0,15.66,clear sky
348,Gladstone,AU,-23.85,151.25,72.79,26,2,6.91,clear sky
349,Kazachinskoye,RU,57.6953,93.2761,72.5,69,99,2.13,overcast clouds
350,Babol,IR,36.5513,52.679,75.27,44,23,1.21,few clouds
351,Havøysund,NO,70.9963,24.6622,49.08,97,100,8.08,overcast clouds
352,Okha,RU,53.5739,142.9478,57.51,79,100,15.7,overcast clouds
353,Palmer,US,42.1584,-72.3287,66.99,79,90,0.0,overcast clouds
354,Buenos Aires,AR,-34.6132,-58.3772,51.94,93,20,5.75,few clouds
355,Kaeo,NZ,-35.1,173.7833,58.32,91,99,10.38,overcast clouds
356,Gisborne,NZ,-38.6533,178.0042,55.94,87,100,2.42,light rain
