City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Zhangye,CN,2021-08-03 11:34:06,38.9342,100.4517,81.64,11,65,8.7
125,Bambous Virieux,MU,2021-08-03 11:34:07,-20.3428,57.7575,77.22,50,40,16.11
126,Mastic Beach,US,2021-08-03 11:34:07,40.7668,-72.8521,67.01,82,1,1.99
127,East London,ZA,2021-08-03 11:34:07,-33.0153,27.9116,72.54,49,0,4.61
128,Hasaki,JP,2021-08-03 11:34:08,35.7333,140.8333,82.69,88,5,10.56
129,Koumac,NC,2021-08-03 11:34:08,-20.5667,164.2833,64.54,75,0,3.69
130,Barrow,US,2021-08-03 11:34:08,71.2906,-156.7887,44.62,87,90,12.66
131,Batemans Bay,AU,2021-08-03 11:34:09,-35.7167,150.1833,50.92,56,6,11.25
132,Bilma,NE,2021-08-03 11:34:09,18.6853,12.9164,104.14,18,0,13.27
133,Vertesszolos,HU,2021-08-03 11:34:10,47.6211,18.3813,82.31,42,76,3.67
134,Chokurdakh,RU,2021-08-03 11:34:10,70.6333,147.9167,41.32,62,22,9.84
135,Karratha,AU,2021-08-03 11:34:10,-20.7377,116.8463,67.68,27,66,2.68
136,Gamboma,CG,2021-08-03 11:34:11,-1.8764,15.8644,99.39,18,41,4.97
137,Andros Town,BS,2021-08-03 11:34:11,24.7,-77.7667,82.36,76,100,13.29
138,Londrina,BR,2021-08-03 11:32:36,-23.3103,-51.1628,55.06,82,0,3.44
139,Roald,NO,2021-08-03 11:34:12,62.5833,6.1333,64.17,58,20,9.22
140,Krasnogorskoye,RU,2021-08-03 11:34:12,52.2953,86.1979,76.48,54,81,2.95
141,Diffa,NE,2021-08-03 11:34:12,13.3154,12.6113,92.16,46,87,12.86
142,Pisco,PE,2021-08-03 11:34:13,-13.7,-76.2167,62.65,82,90,6.91
143,Carnarvon,AU,2021-08-03 11:34:13,-24.8667,113.6333,60.87,42,0,11.5
144,Chengde,CN,2021-08-03 11:34:14,40.9725,117.9361,72.52,91,88,2.57
145,Iqaluit,CA,2021-08-03 11:29:50,63.7506,-68.5145,42.53,93,90,10.0
146,Kunashak,RU,2021-08-03 11:34:14,55.7032,61.5498,84.72,47,100,10.74
147,Xam Nua,LA,2021-08-03 11:34:15,20.4197,104.0439,69.89,97,84,0.98
